coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +69.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +67.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +69.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +69.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +65.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +57.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.80 V  
curr1:            N/A  

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3222 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 4.9 398804 396860 405432
 0.0     0     0      0
